d,z,a,poisson,sigma,E
3.5,895.33,143.33,0.5,0.8,7.768
3.5,895.33,156.66,0.35,0.56,6.7137
3.5,895.33,156.66,0.35,0.64,7.6728
3.5,895.33,156.66,0.35,0.72,8.6319
3.5,895.33,156.66,0.35,0.8,9.591
3.5,895.33,156.66,0.4,0.56,6.6577
3.5,895.33,156.66,0.4,0.64,7.6088
3.5,895.33,156.66,0.4,0.72,8.5599
3.5,895.33,156.66,0.4,0.8,9.511
3.5,895.33,156.66,0.45,0.56,6.5799
3.5,895.33,156.66,0.45,0.64,7.5199
3.5,895.33,156.66,0.45,0.72,8.4598
3.5,895.33,156.66,0.45,0.8,9.3998
3.5,895.33,156.66,0.5,0.56,6.4803
3.5,895.33,156.66,0.5,0.64,7.4061
3.5,895.33,156.66,0.5,0.72,8.3318
3.5,895.33,156.66,0.5,0.8,9.2576
3.5,895.33,169.99,0.35,0.56,7.8855
3.5,895.33,169.99,0.35,0.64,9.0119
3.5,895.33,169.99,0.35,0.72,10.1384
3.5,895.33,169.99,0.35,0.8,11.2649
3.5,895.33,169.99,0.4,0.56,7.8192
3.5,895.33,169.99,0.4,0.64,8.9363
3.5,895.33,169.99,0.4,0.72,10.0533
3.5,895.33,169.99,0.4,0.8,11.1703
3.5,895.33,169.99,0.45,0.56,7.7274
3.5,895.33,169.99,0.45,0.64,8.8313
3.5,895.33,169.99,0.45,0.72,9.9352
3.5,895.33,169.99,0.45,0.8,11.0392
3.5,895.33,169.99,0.5,0.56,7.61
3.5,895.33,169.99,0.5,0.64,8.6971
3.5,895.33,169.99,0.5,0.72,9.7843
3.5,895.33,169.99,0.5,0.8,10.8714
3.5,940.66,130,0.35,0.56,4.4235
3.5,940.66,130,0.35,0.64,5.0554
3.5,940.66,130,0.35,0.72,5.6873
3.5,940.66,130,0.35,0.8,6.3193
3.5,940.66,130,0.4,0.56,4.3871
3.5,940.66,130,0.4,0.64,5.0138
3.5,940.66,130,0.4,0.72,5.6405
3.5,940.66,130,0.4,0.8,6.2672
3.5,940.66,130,0.45,0.56,4.3363
3.5,940.66,130,0.45,0.64,4.9558
3.5,940.66,130,0.45,0.72,5.5753
3.5,940.66,130,0.45,0.8,6.1947
3.5,940.66,130,0.5,0.56,4.2713
3.5,940.66,130,0.5,0.64,4.8815
3.5,940.66,130,0.5,0.72,5.4916
3.5,940.66,130,0.5,0.8,6.1018
3.5,940.66,143.33,0.35,0.56,5.367
3.5,940.66,143.33,0.35,0.64,6.1337
3.5,940.66,143.33,0.35,0.72,6.9005
3.5,940.66,143.33,0.35,0.8,7.6672
3.5,940.66,143.33,0.4,0.56,5.3226
3.5,940.66,143.33,0.4,0.64,6.083
3.5,940.66,143.33,0.4,0.72,6.8434
3.5,940.66,143.33,0.4,0.8,7.6037
3.5,940.66,143.33,0.45,0.56,5.2608
3.5,940.66,143.33,0.45,0.64,6.0124
3.5,940.66,143.33,0.45,0.72,6.7639
3.5,940.66,143.33,0.45,0.8,7.5155
3.5,940.66,143.33,0.5,0.56,5.1817
3.5,940.66,143.33,0.5,0.64,5.9219
3.5,940.66,143.33,0.5,0.72,6.6621
3.5,940.66,143.33,0.5,0.8,7.4024
3.5,940.66,156.66,0.35,0.56,6.3985
3.5,940.66,156.66,0.35,0.64,7.3126
3.5,940.66,156.66,0.35,0.72,8.2267
3.5,940.66,156.66,0.35,0.8,9.1408
3.5,940.66,156.66,0.4,0.56,6.3453
3.5,940.66,156.66,0.4,0.64,7.2518
3.5,940.66,156.66,0.4,0.72,8.1583
3.5,940.66,156.66,0.4,0.8,9.0647
3.5,940.66,156.66,0.45,0.56,6.2714
3.5,940.66,156.66,0.45,0.64,7.1673
3.5,940.66,156.66,0.45,0.72,8.0632
3.5,940.66,156.66,0.45,0.8,8.9591
3.5,940.66,156.66,0.5,0.56,6.1767
3.5,940.66,156.66,0.5,0.64,7.059
3.5,940.66,156.66,0.5,0.72,7.9414
3.5,940.66,156.66,0.5,0.8,8.8238
3.5,940.66,169.99,0.35,0.56,7.517
3.5,940.66,169.99,0.35,0.64,8.5908
3.5,940.66,169.99,0.35,0.72,9.6647
3.5,940.66,169.99,0.35,0.8,10.7385
3.5,940.66,169.99,0.4,0.56,7.4541
3.5,940.66,169.99,0.4,0.64,8.5189
3.5,940.66,169.99,0.4,0.72,9.5838
3.5,940.66,169.99,0.4,0.8,10.6487
3.5,940.66,169.99,0.45,0.56,7.3668
3.5,940.66,169.99,0.45,0.64,8.4192
3.5,940.66,169.99,0.45,0.72,9.4716
3.5,940.66,169.99,0.45,0.8,10.524
3.5,940.66,169.99,0.5,0.56,7.2552
3.5,940.66,169.99,0.5,0.64,8.2916
3.5,940.66,169.99,0.5,0.72,9.3281
3.5,940.66,169.99,0.5,0.8,10.3645
3.5,985.99,130,0.35,0.56,4.2235
3.5,985.99,130,0.35,0.64,4.8268
3.5,985.99,130,0.35,0.72,5.4302
3.5,985.99,130,0.35,0.8,6.0335
3.5,985.99,130,0.4,0.56,4.1887
3.5,985.99,130,0.4,0.64,4.7871
3.5,985.99,130,0.4,0.72,5.3855
3.5,985.99,130,0.4,0.8,5.9839
3.5,985.99,130,0.45,0.56,4.1404
3.5,985.99,130,0.45,0.64,4.7318
3.5,985.99,130,0.45,0.72,5.3233
3.5,985.99,130,0.45,0.8,5.9148
3.5,985.99,130,0.5,0.56,4.0783
3.5,985.99,130,0.5,0.64,4.661
3.5,985.99,130,0.5,0.72,5.2436
3.5,985.99,130,0.5,0.8,5.8262
3.5,985.99,143.33,0.35,0.56,5.1252
3.5,985.99,143.33,0.35,0.64,5.8573
3.5,985.99,143.33,0.35,0.72,6.5895
3.5,985.99,143.33,0.35,0.8,7.3217
3.5,985.99,143.33,0.4,0.56,5.0829
3.5,985.99,143.33,0.4,0.64,5.809
3.5,985.99,143.33,0.4,0.72,6.5351
3.5,985.99,143.33,0.4,0.8,7.2612
3.5,985.99,143.33,0.45,0.56,5.024
3.5,985.99,143.33,0.45,0.64,5.7417
3.5,985.99,143.33,0.45,0.72,6.4594
3.5,985.99,143.33,0.45,0.8,7.1771
3.5,985.99,143.33,0.5,0.56,4.9485
3.5,985.99,143.33,0.5,0.64,5.6554
3.5,985.99,143.33,0.5,0.72,6.3623
3.5,985.99,143.33,0.5,0.8,7.0693
3.5,985.99,156.66,0.35,0.56,6.1113
3.5,985.99,156.66,0.35,0.64,6.9844
3.5,985.99,156.66,0.35,0.72,7.8574
3.5,985.99,156.66,0.35,0.8,8.7304
3.5,985.99,156.66,0.4,0.56,6.0606
3.5,985.99,156.66,0.4,0.64,6.9264
3.5,985.99,156.66,0.4,0.72,7.7922
3.5,985.99,156.66,0.4,0.8,8.658
3.5,985.99,156.66,0.45,0.56,5.9901
3.5,985.99,156.66,0.45,0.64,6.8459
3.5,985.99,156.66,0.45,0.72,7.7016
3.5,985.99,156.66,0.45,0.8,8.5573
3.5,985.99,156.66,0.5,0.56,5.8999
3.5,985.99,156.66,0.5,0.64,6.7427
3.5,985.99,156.66,0.5,0.72,7.5855
3.5,985.99,156.66,0.5,0.8,8.4284
3.5,985.99,169.99,0.35,0.56,7.1809
3.5,985.99,169.99,0.35,0.64,8.2068
3.5,985.99,169.99,0.35,0.72,9.2326
3.5,985.99,169.99,0.35,0.8,10.2585
3.5,985.99,169.99,0.4,0.56,7.121
3.5,985.99,169.99,0.4,0.64,8.1383
3.5,985.99,169.99,0.4,0.72,9.1556
3.5,985.99,169.99,0.4,0.8,10.1729
3.5,985.99,169.99,0.45,0.56,7.0379
3.5,985.99,169.99,0.45,0.64,8.0433
3.5,985.99,169.99,0.45,0.72,9.0487
3.5,985.99,169.99,0.45,0.8,10.0541
3.5,985.99,169.99,0.5,0.56,6.9315
3.5,985.99,169.99,0.5,0.64,7.9217
3.5,985.99,169.99,0.5,0.72,8.9119
3.5,985.99,169.99,0.5,0.8,9.9021
5,850,130,0.35,0.56,3.42
5,850,130,0.35,0.64,3.9086
5,850,130,0.35,0.72,4.3971
5,850,130,0.35,0.8,4.8857
5,850,130,0.4,0.56,3.3917
5,850,130,0.4,0.64,3.8762
5,850,130,0.4,0.72,4.3607
5,850,130,0.4,0.8,4.8452
5,850,130,0.45,0.56,3.3523
5,850,130,0.45,0.64,3.8312
5,850,130,0.45,0.72,4.3101
5,850,130,0.45,0.8,4.789
5,850,130,0.5,0.56,3.3018
5,850,130,0.5,0.64,3.7735
5,850,130,0.5,0.72,4.2452
5,850,130,0.5,0.8,4.7169
5,850,143.33,0.35,0.56,4.1478
5,850,143.33,0.35,0.64,4.7403
5,850,143.33,0.35,0.72,5.3328
5,850,143.33,0.35,0.8,5.9254
5,850,143.33,0.4,0.56,4.1132
5,850,143.33,0.4,0.64,4.7008
5,850,143.33,0.4,0.72,5.2884
5,850,143.33,0.4,0.8,5.876
5,850,143.33,0.45,0.56,4.0653
5,850,143.33,0.45,0.64,4.646
5,850,143.33,0.45,0.72,5.2268
5,850,143.33,0.45,0.8,5.8075
5,850,143.33,0.5,0.56,4.0038
5,850,143.33,0.5,0.64,4.5758
5,850,143.33,0.5,0.72,5.1478
5,850,143.33,0.5,0.8,5.7198
5,850,156.66,0.35,0.56,4.9427
5,850,156.66,0.35,0.64,5.6488
5,850,156.66,0.35,0.72,6.3549
5,850,156.66,0.35,0.8,7.061
5,850,156.66,0.4,0.56,4.9013
5,850,156.66,0.4,0.64,5.6015
5,850,156.66,0.4,0.72,6.3017
5,850,156.66,0.4,0.8,7.0019
5,850,156.66,0.45,0.56,4.8439
5,850,156.66,0.45,0.64,5.5358
5,850,156.66,0.45,0.72,6.2278
5,850,156.66,0.45,0.8,6.9198
5,850,156.66,0.5,0.56,4.7704
5,850,156.66,0.5,0.64,5.4519
5,850,156.66,0.5,0.72,6.1333
5,850,156.66,0.5,0.8,6.8148
5,850,169.99,0.35,0.56,5.8039
5,850,169.99,0.35,0.64,6.633
5,850,169.99,0.35,0.72,7.4621
5,850,169.99,0.35,0.8,8.2912
5,850,169.99,0.4,0.56,5.7549
5,850,169.99,0.4,0.64,6.577
5,850,169.99,0.4,0.72,7.3992
5,850,169.99,0.4,0.8,8.2213
5,850,169.99,0.45,0.56,5.6871
5,850,169.99,0.45,0.64,6.4995
5,850,169.99,0.45,0.72,7.312
5,850,169.99,0.45,0.8,8.1244
5,850,169.99,0.5,0.56,5.6004
5,850,169.99,0.5,0.64,6.4005
5,850,169.99,0.5,0.72,7.2006
5,850,169.99,0.5,0.8,8.0006
5,895.33,130,0.35,0.56,3.2503
5,895.33,130,0.35,0.64,3.7146
5,895.33,130,0.35,0.72,4.1789
5,895.33,130,0.35,0.8,4.6432
5,895.33,130,0.4,0.56,3.2234
5,895.33,130,0.4,0.64,3.6839
5,895.33,130,0.4,0.72,4.1444
5,895.33,130,0.4,0.8,4.6049
5,895.33,130,0.45,0.56,3.1861
5,895.33,130,0.45,0.64,3.6412
5,895.33,130,0.45,0.72,4.0964
5,895.33,130,0.45,0.8,4.5515
5,895.33,130,0.5,0.56,3.1382
5,895.33,130,0.5,0.64,3.5865
5,895.33,130,0.5,0.72,4.0348
5,895.33,130,0.5,0.8,4.4832
5,895.33,143.33,0.35,0.56,3.9428
5,895.33,143.33,0.35,0.64,4.506
5,895.33,143.33,0.35,0.72,5.0693
5,895.33,143.33,0.35,0.8,5.6326
5,895.33,143.33,0.4,0.56,3.9101
5,895.33,143.33,0.4,0.64,4.4687
5,895.33,143.33,0.4,0.72,5.0272
5,895.33,143.33,0.4,0.8,5.5858
5,895.33,143.33,0.45,0.56,3.8646
5,895.33,143.33,0.45,0.64,4.4167
5,895.33,143.33,0.45,0.72,4.9687
5,895.33,143.33,0.45,0.8,5.5208
5,895.33,143.33,0.5,0.56,3.8063
5,895.33,143.33,0.5,0.64,4.3501
5,895.33,143.33,0.5,0.72,4.8938
5,895.33,143.33,0.5,0.8,5.4376
5,895.33,156.66,0.35,0.56,4.6996
5,895.33,156.66,0.35,0.64,5.371
5,895.33,156.66,0.35,0.72,6.0423
5,895.33,156.66,0.35,0.8,6.7137
5,895.33,156.66,0.4,0.56,4.6604
5,895.33,156.66,0.4,0.64,5.3261
5,895.33,156.66,0.4,0.72,5.9919
5,895.33,156.66,0.4,0.8,6.6577
5,895.33,156.66,0.45,0.56,4.6059
5,895.33,156.66,0.45,0.64,5.2639
5,895.33,156.66,0.45,0.72,5.9219
5,895.33,156.66,0.45,0.8,6.5799
5,895.33,156.66,0.5,0.56,4.5362
5,895.33,156.66,0.5,0.64,5.1842
5,895.33,156.66,0.5,0.72,5.8323
5,895.33,156.66,0.5,0.8,6.4803
5,895.33,169.99,0.35,0.56,5.5198
5,895.33,169.99,0.35,0.64,6.3084
5,895.33,169.99,0.35,0.72,7.0969
5,895.33,169.99,0.35,0.8,7.8855
5,895.33,169.99,0.4,0.56,5.4735
5,895.33,169.99,0.4,0.64,6.2554
5,895.33,169.99,0.4,0.72,7.0373
5,895.33,169.99,0.4,0.8,7.8192
5,895.33,169.99,0.45,0.56,5.4092
5,895.33,169.99,0.45,0.64,6.1819
5,895.33,169.99,0.45,0.72,6.9547
5,895.33,169.99,0.45,0.8,7.7274
5,895.33,169.99,0.5,0.56,5.327
5,895.33,169.99,0.5,0.64,6.088
5,895.33,169.99,0.5,0.72,6.849
5,895.33,169.99,0.5,0.8,7.61
5,940.66,130,0.35,0.56,3.0964
5,940.66,130,0.35,0.64,3.5388
5,940.66,130,0.35,0.72,3.9811
5,940.66,130,0.35,0.8,4.4235
5,940.66,130,0.4,0.56,3.0709
5,940.66,130,0.4,0.64,3.5096
5,940.66,130,0.4,0.72,3.9484
5,940.66,130,0.4,0.8,4.3871
5,940.66,130,0.45,0.56,3.0354
5,940.66,130,0.45,0.64,3.4691
5,940.66,130,0.45,0.72,3.9027
5,940.66,130,0.45,0.8,4.3363
5,940.66,130,0.5,0.56,2.9899
5,940.66,130,0.5,0.64,3.417
5,940.66,130,0.5,0.72,3.8441
5,940.66,130,0.5,0.8,4.2713
5,940.66,143.33,0.35,0.56,3.7569
5,940.66,143.33,0.35,0.64,4.2936
5,940.66,143.33,0.35,0.72,4.8303
5,940.66,143.33,0.35,0.8,5.367
5,940.66,143.33,0.4,0.56,3.7258
5,940.66,143.33,0.4,0.64,4.2581
5,940.66,143.33,0.4,0.72,4.7904
5,940.66,143.33,0.4,0.8,5.3226
5,940.66,143.33,0.45,0.56,3.6826
5,940.66,143.33,0.45,0.64,4.2087
5,940.66,143.33,0.45,0.72,4.7347
5,940.66,143.33,0.45,0.8,5.2608
5,940.66,143.33,0.5,0.56,3.6272
5,940.66,143.33,0.5,0.64,4.1453
5,940.66,143.33,0.5,0.72,4.6635
5,940.66,143.33,0.5,0.8,5.1817
5,940.66,156.66,0.35,0.56,4.479
5,940.66,156.66,0.35,0.64,5.1188
5,940.66,156.66,0.35,0.72,5.7587
5,940.66,156.66,0.35,0.8,6.3985
5,940.66,156.66,0.4,0.56,4.4417
5,940.66,156.66,0.4,0.64,5.0763
5,940.66,156.66,0.4,0.72,5.7108
5,940.66,156.66,0.4,0.8,6.3453
5,940.66,156.66,0.45,0.56,4.3899
5,940.66,156.66,0.45,0.64,5.0171
5,940.66,156.66,0.45,0.72,5.6442
5,940.66,156.66,0.45,0.8,6.2714
5,940.66,156.66,0.5,0.56,4.3237
5,940.66,156.66,0.5,0.64,4.9413
5,940.66,156.66,0.5,0.72,5.559
5,940.66,156.66,0.5,0.8,6.1767
5,940.66,169.99,0.35,0.56,5.2619
5,940.66,169.99,0.35,0.64,6.0136
5,940.66,169.99,0.35,0.72,6.7653
5,940.66,169.99,0.35,0.8,7.517
5,940.66,169.99,0.4,0.56,5.2179
5,940.66,169.99,0.4,0.64,5.9633
5,940.66,169.99,0.4,0.72,6.7087
5,940.66,169.99,0.4,0.8,7.4541
5,940.66,169.99,0.45,0.56,5.1568
5,940.66,169.99,0.45,0.64,5.8934
5,940.66,169.99,0.45,0.72,6.6301
5,940.66,169.99,0.45,0.8,7.3668
5,940.66,169.99,0.5,0.56,5.0786
5,940.66,169.99,0.5,0.64,5.8041
5,940.66,169.99,0.5,0.72,6.5296
5,940.66,169.99,0.5,0.8,7.2552
5,985.99,130,0.35,0.56,2.9564
5,985.99,130,0.35,0.64,3.3788
5,985.99,130,0.35,0.72,3.8011
5,985.99,130,0.35,0.8,4.2235
5,985.99,130,0.4,0.56,2.9321
5,985.99,130,0.4,0.64,3.351
5,985.99,130,0.4,0.72,3.7699
5,985.99,130,0.4,0.8,4.1887
5,985.99,130,0.45,0.56,2.8983
5,985.99,130,0.45,0.64,3.3123
5,985.99,130,0.45,0.72,3.7263
5,985.99,130,0.45,0.8,4.1404
5,985.99,130,0.5,0.56,2.8548
5,985.99,130,0.5,0.64,3.2627
5,985.99,130,0.5,0.72,3.6705
5,985.99,130,0.5,0.8,4.0783
5,985.99,143.33,0.35,0.56,3.5876
5,985.99,143.33,0.35,0.64,4.1001
5,985.99,143.33,0.35,0.72,4.6127
5,985.99,143.33,0.35,0.8,5.1252
5,985.99,143.33,0.4,0.56,3.558
5,985.99,143.33,0.4,0.64,4.0663
5,985.99,143.33,0.4,0.72,4.5746
5,985.99,143.33,0.4,0.8,5.0829
5,985.99,143.33,0.45,0.56,3.5168
5,985.99,143.33,0.45,0.64,4.0192
5,985.99,143.33,0.45,0.72,4.5216
5,985.99,143.33,0.45,0.8,5.024
5,985.99,143.33,0.5,0.56,3.4639
5,985.99,143.33,0.5,0.64,3.9588
5,985.99,143.33,0.5,0.72,4.4536
5,985.99,143.33,0.5,0.8,4.9485
5,985.99,156.66,0.35,0.56,4.2779
5,985.99,156.66,0.35,0.64,4.889
5,985.99,156.66,0.35,0.72,5.5002
5,985.99,156.66,0.35,0.8,6.1113
5,985.99,156.66,0.4,0.56,4.2424
5,985.99,156.66,0.4,0.64,4.8485
5,985.99,156.66,0.4,0.72,5.4546
5,985.99,156.66,0.4,0.8,6.0606
5,985.99,156.66,0.45,0.56,4.1931
5,985.99,156.66,0.45,0.64,4.7921
5,985.99,156.66,0.45,0.72,5.3911
5,985.99,156.66,0.45,0.8,5.9901
5,985.99,156.66,0.5,0.56,4.1299
5,985.99,156.66,0.5,0.64,4.7199
5,985.99,156.66,0.5,0.72,5.3099
5,985.99,156.66,0.5,0.8,5.8999
5,985.99,169.99,0.35,0.56,5.0266
5,985.99,169.99,0.35,0.64,5.7447
5,985.99,169.99,0.35,0.72,6.4628
5,985.99,169.99,0.35,0.8,7.1809
5,985.99,169.99,0.4,0.56,4.9847
5,985.99,169.99,0.4,0.64,5.6968
5,985.99,169.99,0.4,0.72,6.4089
5,985.99,169.99,0.4,0.8,7.121
5,985.99,169.99,0.45,0.56,4.9265
5,985.99,169.99,0.45,0.64,5.6303
5,985.99,169.99,0.45,0.72,6.3341
5,985.99,169.99,0.45,0.8,7.0379
5,985.99,169.99,0.5,0.56,4.852
5,985.99,169.99,0.5,0.64,5.5452
5,985.99,169.99,0.5,0.72,6.2383
5,985.99,169.99,0.5,0.8,6.9315
