d,z,a,poisson,sigma,E
0.5,895.33,169.99,0.4,0.8,78.1923
0.5,895.33,169.99,0.45,0.56,54.0919
0.5,895.33,169.99,0.45,0.64,61.8193
0.5,895.33,169.99,0.45,0.72,69.5467
0.5,895.33,169.99,0.45,0.8,77.2741
0.5,895.33,169.99,0.5,0.56,53.27
0.5,895.33,169.99,0.5,0.64,60.88
0.5,895.33,169.99,0.5,0.72,68.49
0.5,895.33,169.99,0.5,0.8,76.1
0.5,940.66,130,0.35,0.56,30.9644
0.5,940.66,130,0.35,0.64,35.3879
0.5,940.66,130,0.35,0.72,39.8114
0.5,940.66,130,0.35,0.8,44.2349
0.5,940.66,130,0.4,0.56,30.7094
0.5,940.66,130,0.4,0.64,35.0964
0.5,940.66,130,0.4,0.72,39.4835
0.5,940.66,130,0.4,0.8,43.8706
0.5,940.66,130,0.45,0.56,30.3542
0.5,940.66,130,0.45,0.64,34.6905
0.5,940.66,130,0.45,0.72,39.0268
0.5,940.66,130,0.45,0.8,43.3632
0.5,940.66,130,0.5,0.56,29.8989
0.5,940.66,130,0.5,0.64,34.1702
0.5,940.66,130,0.5,0.72,38.4414
0.5,940.66,130,0.5,0.8,42.7127
0.5,940.66,143.33,0.35,0.56,37.5692
0.5,940.66,143.33,0.35,0.64,42.9362
0.5,940.66,143.33,0.35,0.72,48.3033
0.5,940.66,143.33,0.35,0.8,53.6703
0.5,940.66,143.33,0.4,0.56,37.2583
0.5,940.66,143.33,0.4,0.64,42.5809
0.5,940.66,143.33,0.4,0.72,47.9035
0.5,940.66,143.33,0.4,0.8,53.2261
0.5,940.66,143.33,0.45,0.56,36.8257
0.5,940.66,143.33,0.45,0.64,42.0866
0.5,940.66,143.33,0.45,0.72,47.3474
0.5,940.66,143.33,0.45,0.8,52.6082
0.5,940.66,143.33,0.5,0.56,36.2716
0.5,940.66,143.33,0.5,0.64,41.4533
0.5,940.66,143.33,0.5,0.72,46.6349
0.5,940.66,143.33,0.5,0.8,51.8166
0.5,940.66,156.66,0.35,0.56,44.7898
0.5,940.66,156.66,0.35,0.64,51.1884
0.5,940.66,156.66,0.35,0.72,57.5869
0.5,940.66,156.66,0.35,0.8,63.9855
0.5,940.66,156.66,0.4,0.56,44.4172
0.5,940.66,156.66,0.4,0.64,50.7625
0.5,940.66,156.66,0.4,0.72,57.1079
0.5,940.66,156.66,0.4,0.8,63.4532
0.5,940.66,156.66,0.45,0.56,43.8995
0.5,940.66,156.66,0.45,0.64,50.1708
0.5,940.66,156.66,0.45,0.72,56.4422
0.5,940.66,156.66,0.45,0.8,62.7136
0.5,940.66,156.66,0.5,0.56,43.2366
0.5,940.66,156.66,0.5,0.64,49.4133
0.5,940.66,156.66,0.5,0.72,55.59
0.5,940.66,156.66,0.5,0.8,61.7666
0.5,940.66,169.99,0.35,0.56,52.6187
0.5,940.66,169.99,0.35,0.64,60.1357
0.5,940.66,169.99,0.35,0.72,67.6527
0.5,940.66,169.99,0.35,0.8,75.1696
0.5,940.66,169.99,0.4,0.56,52.1785
0.5,940.66,169.99,0.4,0.64,59.6326
0.5,940.66,169.99,0.4,0.72,67.0867
0.5,940.66,169.99,0.4,0.8,74.5407
0.5,940.66,169.99,0.45,0.56,51.5677
0.5,940.66,169.99,0.45,0.64,58.9345
0.5,940.66,169.99,0.45,0.72,66.3013
0.5,940.66,169.99,0.45,0.8,73.6681
0.5,940.66,169.99,0.5,0.56,50.7861
0.5,940.66,169.99,0.5,0.64,58.0413
0.5,940.66,169.99,0.5,0.72,65.2965
0.5,940.66,169.99,0.5,0.8,72.5516
0.5,985.99,130,0.35,0.56,29.5642
0.5,985.99,130,0.35,0.64,33.7876
0.5,985.99,130,0.35,0.72,38.0111
0.5,985.99,130,0.35,0.8,42.2345
0.5,985.99,130,0.4,0.56,29.3211
0.5,985.99,130,0.4,0.64,33.5099
0.5,985.99,130,0.4,0.72,37.6986
0.5,985.99,130,0.4,0.8,41.8873
0.5,985.99,130,0.45,0.56,28.9825
0.5,985.99,130,0.45,0.64,33.1229
0.5,985.99,130,0.45,0.72,37.2632
0.5,985.99,130,0.45,0.8,41.4036
0.5,985.99,130,0.5,0.56,28.5484
0.5,985.99,130,0.5,0.64,32.6267
0.5,985.99,130,0.5,0.72,36.705
0.5,985.99,130,0.5,0.8,40.7834
0.5,985.99,143.33,0.35,0.56,35.8762
0.5,985.99,143.33,0.35,0.64,41.0014
0.5,985.99,143.33,0.35,0.72,46.1266
0.5,985.99,143.33,0.35,0.8,51.2517
0.5,985.99,143.33,0.4,0.56,35.58
0.5,985.99,143.33,0.4,0.64,40.6629
0.5,985.99,143.33,0.4,0.72,45.7457
0.5,985.99,143.33,0.4,0.8,50.8286
0.5,985.99,143.33,0.45,0.56,35.1677
0.5,985.99,143.33,0.45,0.64,40.1917
0.5,985.99,143.33,0.45,0.72,45.2156
0.5,985.99,143.33,0.45,0.8,50.2396
0.5,985.99,143.33,0.5,0.56,34.6394
0.5,985.99,143.33,0.5,0.64,39.5879
0.5,985.99,143.33,0.5,0.72,44.5363
0.5,985.99,143.33,0.5,0.8,49.4848
0.5,985.99,156.66,0.35,0.56,42.7792
0.5,985.99,156.66,0.35,0.64,48.8905
0.5,985.99,156.66,0.35,0.72,55.0018
0.5,985.99,156.66,0.35,0.8,61.1131
0.5,985.99,156.66,0.4,0.56,42.4243
0.5,985.99,156.66,0.4,0.64,48.4849
0.5,985.99,156.66,0.4,0.72,54.5455
0.5,985.99,156.66,0.4,0.8,60.6061
0.5,985.99,156.66,0.45,0.56,41.9309
0.5,985.99,156.66,0.45,0.64,47.921
0.5,985.99,156.66,0.45,0.72,53.9112
0.5,985.99,156.66,0.45,0.8,59.9013
0.5,985.99,156.66,0.5,0.56,41.299
0.5,985.99,156.66,0.5,0.64,47.1988
0.5,985.99,156.66,0.5,0.72,53.0987
0.5,985.99,156.66,0.5,0.8,58.9985
0.5,985.99,169.99,0.35,0.56,50.2664
0.5,985.99,169.99,0.35,0.64,57.4474
0.5,985.99,169.99,0.35,0.72,64.6283
0.5,985.99,169.99,0.35,0.8,71.8092
0.5,985.99,169.99,0.4,0.56,49.8473
0.5,985.99,169.99,0.4,0.64,56.9683
0.5,985.99,169.99,0.4,0.72,64.0894
0.5,985.99,169.99,0.4,0.8,71.2104
0.5,985.99,169.99,0.45,0.56,49.2652
0.5,985.99,169.99,0.45,0.64,56.3031
0.5,985.99,169.99,0.45,0.72,63.341
0.5,985.99,169.99,0.45,0.8,70.3789
0.5,985.99,169.99,0.5,0.56,48.5203
0.5,985.99,169.99,0.5,0.64,55.4517
0.5,985.99,169.99,0.5,0.72,62.3832
0.5,985.99,169.99,0.5,0.8,69.3147
2,850,130,0.35,0.56,8.55
2,850,130,0.35,0.64,9.7714
2,850,130,0.35,0.72,10.9928
2,850,130,0.35,0.8,12.2142
2,850,130,0.4,0.56,8.4792
2,850,130,0.4,0.64,9.6905
2,850,130,0.4,0.72,10.9018
2,850,130,0.4,0.8,12.1131
2,850,130,0.45,0.56,8.3807
2,850,130,0.45,0.64,9.578
2,850,130,0.45,0.72,10.7752
2,850,130,0.45,0.8,11.9725
2,850,130,0.5,0.56,8.2546
2,850,130,0.5,0.64,9.4338
2,850,130,0.5,0.72,10.6131
2,850,130,0.5,0.8,11.7923
2,850,143.33,0.35,0.56,10.3694
2,850,143.33,0.35,0.64,11.8507
2,850,143.33,0.35,0.72,13.3321
2,850,143.33,0.35,0.8,14.8134
2,850,143.33,0.4,0.56,10.2831
2,850,143.33,0.4,0.64,11.7521
2,850,143.33,0.4,0.72,13.2211
2,850,143.33,0.4,0.8,14.6901
2,850,143.33,0.45,0.56,10.1631
2,850,143.33,0.45,0.64,11.615
2,850,143.33,0.45,0.72,13.0669
2,850,143.33,0.45,0.8,14.5188
2,850,143.33,0.5,0.56,10.0096
2,850,143.33,0.5,0.64,11.4395
2,850,143.33,0.5,0.72,12.8695
2,850,143.33,0.5,0.8,14.2994
