q,a,E1,E2,f,N,h1
0.48,162.9088031,2167,124,0.93,50000000,210.6252761
0.48,162.9088031,2167,124,1,1000000,30.14608515
0.48,162.9088031,2167,124,1,17333333,144.4152103
0.48,162.9088031,2167,124,1,33666666,175.3831884
0.48,162.9088031,2167,124,1,50000000,195.8815068
0.48,162.9088031,2834,23,0.8,1000000,278.1414874
0.48,162.9088031,2834,23,0.8,17333333,563.2279706
0.48,162.9088031,2834,23,0.8,33666666,662.7845036
0.48,162.9088031,2834,23,0.8,50000000,730.182419
0.48,162.9088031,2834,23,0.87,1000000,255.7622872
0.48,162.9088031,2834,23,0.87,17333333,517.9107775
0.48,162.9088031,2834,23,0.87,33666666,609.4570148
0.48,162.9088031,2834,23,0.87,50000000,671.4321094
0.48,162.9088031,2834,23,0.93,1000000,239.2614945
0.48,162.9088031,2834,23,0.93,17333333,484.497179
0.48,162.9088031,2834,23,0.93,33666666,570.1372074
0.48,162.9088031,2834,23,0.93,50000000,628.1139088
0.48,162.9088031,2834,23,1,1000000,222.5131899
0.48,162.9088031,2834,23,1,17333333,450.5823765
0.48,162.9088031,2834,23,1,33666666,530.2276029
0.48,162.9088031,2834,23,1,50000000,584.1459352
0.48,162.9088031,2834,124,0.8,1000000,34.45830861
0.48,162.9088031,2834,145,0.8,17333333,141.8664391
0.48,162.9088031,2834,145,0.8,33666666,175.0804012
0.48,162.9088031,2834,145,0.8,50000000,196.8098499
0.48,162.9088031,2834,125,0.87,1000000,29.27199319
0.48,162.9088031,2834,145,0.87,17333333,130.451898
0.48,162.9088031,2834,145,0.87,33666666,160.9934723
0.48,162.9088031,2834,145,0.87,50000000,180.9745746
0.48,162.9088031,2834,122,0.93,1000000,33.58167839
0.48,162.9088031,2834,145,0.93,17333333,122.0356465
0.48,162.9088031,2834,145,0.93,33666666,150.6067967
0.48,162.9088031,2834,145,0.93,50000000,169.2987956
0.48,162.9088031,2834,126,1,1000000,23.08695416
0.48,162.9088031,2834,145,1,17333333,113.4931512
0.48,162.9088031,2834,145,1,33666666,140.0643209
0.48,162.9088031,2834,145,1,50000000,157.4478799
0.48,162.9088031,2834,124,0.8,1000000,34.45830861
0.48,162.9088031,2834,125,0.8,17333333,163.8673011
0.48,162.9088031,2834,267,0.8,33666666,72.33963768
0.48,162.9088031,2834,267,0.8,50000000,95.12358813
0.48,162.9088031,2834,122,0.87,1000000,35.89765621
0.48,162.9088031,2834,124,0.87,17333333,151.7912391
0.48,162.9088031,2834,267,0.87,33666666,66.51920706
0.48,162.9088031,2834,267,0.87,50000000,87.46996609
0.48,162.9088031,2834,128,0.93,1000000,17.86879421
0.48,162.9088031,2834,127,0.93,17333333,138.9167436
0.48,162.9088031,2834,267,0.93,33666666,62.22764532
0.48,162.9088031,2834,267,0.93,50000000,81.82674248
0.48,162.9088031,2834,125,1,1000000,25.46663408
0.48,162.9088031,2834,126,1,17333333,130.1386482
0.48,162.9088031,2834,267,1,33666666,57.87171015
0.48,162.9088031,2834,267,1,50000000,76.0988705
0.48,162.9088031,2834,125,0.8,1000000,31.83329259
0.48,162.9088031,2834,125,0.8,17333333,163.8673011
0.48,162.9088031,2834,125,0.8,33666666,199.1358983
0.48,162.9088031,2834,125,0.8,50000000,222.4698999
0.48,162.9088031,2834,125,0.87,1000000,29.27199319
0.48,162.9088031,2834,125,0.87,17333333,150.6825757
0.48,162.9088031,2834,125,0.87,33666666,183.1134697
0.48,162.9088031,2834,125,0.87,50000000,204.5700229
0.48,162.9088031,2834,125,0.93,1000000,27.3834775
0.48,162.9088031,2834,125,0.93,17333333,140.9611192
0.48,162.9088031,2834,125,0.93,33666666,171.2996975
0.48,162.9088031,2834,125,0.93,50000000,191.3719569
0.48,162.9088031,2834,125,1,1000000,25.46663408
0.48,162.9088031,2834,125,1,17333333,131.0938409
0.48,162.9088031,2834,125,1,33666666,159.3087186
0.48,162.9088031,2834,125,1,50000000,177.9759199
0.48,162.9088031,3500,23,0.8,1000000,259.2445926
0.48,162.9088031,3500,23,0.8,17333333,524.962339
0.48,162.9088031,3500,23,0.8,33666666,617.7550148
0.48,162.9088031,3500,23,0.8,50000000,680.573925
0.48,162.9088031,3500,23,0.87,1000000,238.3858323
0.48,162.9088031,3500,23,0.87,17333333,482.7239899
0.48,162.9088031,3500,23,0.87,33666666,568.0505883
0.48,162.9088031,3500,23,0.87,50000000,625.8151034
0.48,162.9088031,3500,23,0.93,1000000,223.0061012
0.48,162.9088031,3500,23,0.93,17333333,451.5805067
0.48,162.9088031,3500,23,0.93,33666666,531.4021633
0.48,162.9088031,3500,23,0.93,50000000,585.4399355
0.48,162.9088031,3500,23,1,1000000,207.3956741
0.48,162.9088031,3500,23,1,17333333,419.9698712
0.48,162.9088031,3500,23,1,33666666,494.2040119
0.48,162.9088031,3500,23,1,50000000,544.45914
0.48,162.9088031,3500,123,0.8,1000000,34.33627459
0.48,162.9088031,3500,145,0.8,17333333,132.2280525
0.48,162.9088031,3500,145,0.8,33666666,163.1854626
0.48,162.9088031,3500,145,0.8,50000000,183.4386156
0.48,162.9088031,3500,124,0.87,1000000,29.53307202
0.48,162.9088031,3500,145,0.87,17333333,121.5890138
0.48,162.9088031,3500,145,0.87,33666666,150.0555978
0.48,162.9088031,3500,145,0.87,50000000,168.6791867
0.48,162.9088031,3500,122,0.93,1000000,31.30014374
0.48,162.9088031,3500,145,0.93,17333333,113.7445613
0.48,162.9088031,3500,145,0.93,33666666,140.3745915
0.48,162.9088031,3500,145,0.93,50000000,157.7966585
0.48,162.9088031,3500,123,1,1000000,27.46901967
0.48,162.9088031,3500,145,1,17333333,105.782442
0.48,162.9088031,3500,145,1,33666666,130.5483701
0.48,162.9088031,3500,145,1,50000000,146.7508924
0.48,162.9088031,3500,125,0.8,1000000,29.67054304
0.48,162.9088031,3500,125,0.8,17333333,152.734179
0.48,162.9088031,3500,267,0.8,33666666,67.42489256
0.48,162.9088031,3500,267,0.8,50000000,88.66090452
0.48,162.9088031,3500,126,0.87,1000000,24.73382717
0.48,162.9088031,3500,126,0.87,17333333,139.4218922
0.48,162.9088031,3500,267,0.87,33666666,61.99990121
0.48,162.9088031,3500,267,0.87,50000000,81.52726852
0.48,162.9088031,3500,123,0.93,1000000,29.53658029
0.48,162.9088031,3500,124,0.93,17333333,132.3509138
0.48,162.9088031,3500,267,0.93,33666666,57.99990758
0.48,162.9088031,3500,267,0.93,50000000,76.26744475
0.48,162.9088031,3500,125,1,1000000,23.73643443
0.48,162.9088031,3500,125,1,17333333,122.1873432
0.48,162.9088031,3500,267,1,33666666,53.93991405
0.48,162.9088031,3500,267,1,50000000,70.92872362
0.48,162.9088031,3500,127,0.8,1000000,23.6121824
0.48,162.9088031,3500,127,0.8,17333333,150.5190573
0.48,162.9088031,3500,127,0.8,33666666,183.1583232
0.48,162.9088031,3500,127,0.8,50000000,204.7319282
0.48,162.9088031,3500,127,0.87,1000000,21.71235163
0.48,162.9088031,3500,127,0.87,17333333,138.4083286
0.48,162.9088031,3500,127,0.87,33666666,168.4214466
0.48,162.9088031,3500,127,0.87,50000000,188.2592443
0.48,162.9088031,3500,127,0.93,1000000,20.31155475
0.48,162.9088031,3500,127,0.93,17333333,129.478759
0.48,162.9088031,3500,127,0.93,33666666,157.5555468
0.48,162.9088031,3500,127,0.93,50000000,176.1134866
0.48,162.9088031,3500,127,1,1000000,18.88974592
0.48,162.9088031,3500,127,1,17333333,120.4152459
0.48,162.9088031,3500,127,1,33666666,146.5266585
0.48,162.9088031,3500,127,1,50000000,163.7855425
0.59,146.9397057,1500,23,0.8,1000000,344.7187461
0.59,146.9397057,1500,23,0.8,17333333,696.7135879
0.59,146.9397057,1500,23,0.8,33666666,819.724958
0.59,146.9397057,1500,23,0.8,50000000,903.0113415
0.59,146.9397057,1500,23,0.87,1000000,316.9827551
0.59,146.9397057,1500,23,0.87,17333333,640.6561728
0.59,146.9397057,1500,23,0.87,33666666,753.7700763
0.59,146.9397057,1500,23,0.87,50000000,830.3552566
0.59,146.9397057,1500,23,0.93,1000000,296.5322547
0.59,146.9397057,1500,23,0.93,17333333,599.3235165
0.59,146.9397057,1500,23,0.93,33666666,705.1397488
0.59,146.9397057,1500,23,0.93,50000000,776.7839497
0.59,146.9397057,1500,23,1,1000000,275.7749969
0.59,146.9397057,1500,23,1,17333333,557.3708703
0.59,146.9397057,1500,23,1,33666666,655.7799664
0.59,146.9397057,1500,23,1,50000000,722.4090732
0.59,146.9397057,1500,56,0.8,1000000,179.7788891
0.59,146.9397057,1500,145,0.8,17333333,181.3177478
0.59,146.9397057,1500,145,0.8,33666666,221.2181357
0.59,146.9397057,1500,145,0.8,50000000,247.5407329
0.59,146.9397057,1500,56,0.87,1000000,165.313921
0.59,146.9397057,1500,145,0.87,17333333,166.7289635
0.59,146.9397057,1500,145,0.87,33666666,203.4189754
0.59,146.9397057,1500,145,0.87,50000000,227.6236625
0.59,146.9397057,1500,65,0.93,1000000,136.3485642
0.59,146.9397057,1500,145,0.93,17333333,155.9722561
0.59,146.9397057,1500,145,0.93,33666666,190.2951705
0.59,146.9397057,1500,145,0.93,50000000,212.9382649
0.59,146.9397057,1500,70,1,1000000,118.6180576
0.59,146.9397057,1500,145,1,17333333,145.0541982
0.59,146.9397057,1500,145,1,33666666,176.9745086
0.59,146.9397057,1500,145,1,50000000,198.0325864
0.59,146.9397057,1500,72,0.8,1000000,144.42622
0.59,146.9397057,1500,267,0.8,17333333,62.26672299
0.59,146.9397057,1500,267,0.8,33666666,107.7494121
0.59,146.9397057,1500,267,0.8,50000000,131.3326955
0.59,146.9397057,1500,75,0.87,1000000,127.7095851
0.59,146.9397057,1500,267,0.87,17333333,57.25675677
0.59,146.9397057,1500,267,0.87,33666666,99.07991913
0.59,146.9397057,1500,267,0.87,50000000,120.765697
0.59,146.9397057,1500,80,0.93,1000000,111.9751493
0.59,146.9397057,1500,267,0.93,17333333,53.56277246
0.59,146.9397057,1500,267,0.93,33666666,92.68766629
0.59,146.9397057,1500,267,0.93,50000000,112.9743617
0.59,146.9397057,1500,88,1,1000000,93.84168052
0.59,146.9397057,1500,267,1,17333333,49.81337839
0.59,146.9397057,1500,267,1,33666666,86.19952965
0.59,146.9397057,1500,267,1,50000000,105.0661564
0.59,146.9397057,1500,90,0.8,1000000,114.2461893
0.59,146.9397057,1500,90,0.8,17333333,269.5233005
0.59,146.9397057,1500,90,0.8,33666666,320.7883114
0.59,146.9397057,1500,90,0.8,50000000,355.2163483
0.59,146.9397057,1500,90,0.87,1000000,105.0539672
0.59,146.9397057,1500,90,0.87,17333333,247.8375177
0.59,146.9397057,1500,90,0.87,33666666,294.9777576
0.59,146.9397057,1500,90,0.87,50000000,326.6357226
0.59,146.9397057,1500,90,0.93,1000000,98.27629188
0.59,146.9397057,1500,90,0.93,17333333,231.8480004
0.59,146.9397057,1500,90,0.93,33666666,275.9469345
0.59,146.9397057,1500,90,0.93,50000000,305.5624502
0.59,146.9397057,1500,90,1,1000000,91.39695145
0.59,146.9397057,1500,90,1,17333333,215.6186404
0.59,146.9397057,1500,90,1,33666666,256.6306491
0.59,146.9397057,1500,90,1,50000000,284.1730787
0.59,146.9397057,2167,23,0.8,1000000,304.9362234
0.59,146.9397057,2167,23,0.8,17333333,616.3088392
0.59,146.9397057,2167,23,0.8,33666666,725.1239909
0.59,146.9397057,2167,23,0.8,50000000,798.7986475
0.59,146.9397057,2167,23,0.87,1000000,280.401125
0.59,146.9397057,2167,23,0.87,17333333,566.7207717
0.59,146.9397057,2167,23,0.87,33666666,666.7806812
0.59,146.9397057,2167,23,0.87,50000000,734.5274919
0.59,146.9397057,2167,23,0.93,1000000,262.3107298
0.59,146.9397057,2167,23,0.93,17333333,530.1581413
0.59,146.9397057,2167,23,0.93,33666666,623.7625728
0.59,146.9397057,2167,23,0.93,50000000,687.1386215
0.59,146.9397057,2167,23,1,1000000,243.9489787
0.59,146.9397057,2167,23,1,17333333,493.0470714
0.59,146.9397057,2167,23,1,33666666,580.0991927
0.59,146.9397057,2167,23,1,50000000,639.038918
0.59,146.9397057,2167,33,0.8,1000000,236.9013468
0.59,146.9397057,2167,145,0.8,17333333,160.3926385
0.59,146.9397057,2167,145,0.8,33666666,195.6882926
0.59,146.9397057,2167,145,0.8,50000000,218.9731109
0.59,146.9397057,2167,45,0.87,1000000,173.5670479
0.59,146.9397057,2167,145,0.87,17333333,147.4874837
0.59,146.9397057,2167,145,0.87,33666666,179.9432575
0.59,146.9397057,2167,145,0.87,50000000,201.3545848
0.59,146.9397057,2167,56,0.93,1000000,136.8011811
0.59,146.9397057,2167,145,0.93,17333333,137.9721622
0.59,146.9397057,2167,145,0.93,33666666,168.3340151
0.59,146.9397057,2167,145,0.93,50000000,188.3639664
0.59,146.9397057,2167,65,1,1000000,112.170236
0.59,146.9397057,2167,145,1,17333333,128.3141108
0.59,146.9397057,2167,145,1,33666666,156.5506341
0.59,146.9397057,2167,145,1,50000000,175.1784888
0.59,146.9397057,2167,68,0.8,1000000,134.6825684
0.59,146.9397057,2167,267,0.8,17333333,55.08078561
0.59,146.9397057,2167,267,0.8,33666666,95.31451119
0.59,146.9397057,2167,267,0.8,50000000,116.1761483
0.59,146.9397057,2167,75,0.87,1000000,112.9711656
0.59,146.9397057,2167,267,0.87,17333333,50.64899826
0.59,146.9397057,2167,267,0.87,33666666,87.64552753
0.59,146.9397057,2167,267,0.87,50000000,106.8286421
0.59,146.9397057,2167,56,0.93,1000000,136.8011811
0.59,146.9397057,2167,267,0.93,17333333,47.38132095
0.59,146.9397057,2167,267,0.93,33666666,81.99097737
0.59,146.9397057,2167,267,0.93,50000000,99.93647166
0.59,146.9397057,2167,58,1,1000000,123.6098772
0.59,146.9397057,2167,267,1,17333333,44.06462849
0.59,146.9397057,2167,267,1,33666666,76.25160895
0.59,146.9397057,2167,267,1,50000000,92.94091864
0.59,146.9397057,2167,90,0.8,1000000,101.061523
0.59,146.9397057,2167,90,0.8,17333333,238.4187639
0.59,146.9397057,2167,90,0.8,33666666,283.7674983
0.59,146.9397057,2167,90,0.8,50000000,314.222342
0.59,146.9397057,2167,90,0.87,1000000,92.93013613
0.59,146.9397057,2167,90,0.87,17333333,219.235645
0.59,146.9397057,2167,90,0.87,33666666,260.9356306
0.59,146.9397057,2167,90,0.87,50000000,288.9400846
0.59,146.9397057,2167,90,0.93,1000000,86.93464348
0.59,146.9397057,2167,90,0.93,17333333,205.0914098
0.59,146.9397057,2167,90,0.93,33666666,244.1010738
0.59,146.9397057,2167,90,0.93,50000000,270.2987888
0.59,146.9397057,2167,90,1,1000000,80.84921843
0.59,146.9397057,2167,90,1,17333333,190.7350112
0.59,146.9397057,2167,90,1,33666666,227.0139986
0.59,146.9397057,2167,90,1,50000000,251.3778736
0.59,146.9397057,2834,23,0.8,1000000,278.844472
0.59,146.9397057,2834,23,0.8,17333333,563.5746089
0.59,146.9397057,2834,23,0.8,33666666,663.0790337
0.59,146.9397057,2834,23,0.8,50000000,730.4497464
0.59,146.9397057,2834,23,0.87,1000000,256.4087099
0.59,146.9397057,2834,23,0.87,17333333,518.2295254
0.59,146.9397057,2834,23,0.87,33666666,609.727847
0.59,146.9397057,2834,23,0.87,50000000,671.6779278
0.59,146.9397057,2834,23,0.93,1000000,239.8662124
0.59,146.9397057,2834,23,0.93,17333333,484.7953625
0.59,146.9397057,2834,23,0.93,33666666,570.3905666
0.59,146.9397057,2834,23,0.93,50000000,628.3438679
0.59,146.9397057,2834,23,1,1000000,223.0755776
0.59,146.9397057,2834,23,1,17333333,450.8596871
0.59,146.9397057,2834,23,1,33666666,530.4632269
0.59,146.9397057,2834,23,1,50000000,584.3597972
0.59,146.9397057,2834,45,0.8,1000000,172.6034867
0.59,146.9397057,2834,145,0.8,17333333,146.6687037
0.59,146.9397057,2834,145,0.8,33666666,178.9442986
0.59,146.9397057,2834,145,0.8,50000000,200.2367604
0.59,146.9397057,2834,46,0.87,1000000,156.088812
0.59,146.9397057,2834,145,0.87,17333333,134.8677735
0.59,146.9397057,2834,145,0.87,33666666,164.5464815
0.59,146.9397057,2834,145,0.87,50000000,184.1257567
0.59,146.9397057,2834,56,0.93,1000000,125.0958403
0.59,146.9397057,2834,145,0.93,17333333,126.1666268
0.59,146.9397057,2834,145,0.93,33666666,153.9305794
0.59,146.9397057,2834,145,0.93,50000000,172.2466756
0.59,146.9397057,2834,58,1,1000000,113.0332452
0.59,146.9397057,2834,145,1,17333333,117.334963
0.59,146.9397057,2834,145,1,33666666,143.1554389
0.59,146.9397057,2834,145,1,50000000,160.1894083
0.59,146.9397057,2834,67,0.8,1000000,124.8125742
0.59,146.9397057,2834,267,0.8,17333333,50.36781924
0.59,146.9397057,2834,267,0.8,33666666,87.15896146
0.59,146.9397057,2834,267,0.8,50000000,106.2355806
0.59,146.9397057,2834,46,0.87,1000000,156.088812
0.59,146.9397057,2834,267,0.87,17333333,46.31523608
0.59,146.9397057,2834,267,0.87,33666666,80.14617146
0.59,146.9397057,2834,267,0.87,50000000,97.68789017
0.59,146.9397057,2834,56,0.93,1000000,125.0958403
0.59,146.9397057,2834,267,0.93,17333333,43.32715633
0.59,146.9397057,2834,267,0.93,33666666,74.97545072
0.59,146.9397057,2834,267,0.93,50000000,91.38544565
0.59,146.9397057,2834,67,1,1000000,99.85005935
0.59,146.9397057,2834,267,1,17333333,40.29425539
0.59,146.9397057,2834,267,1,33666666,69.72716917
0.59,146.9397057,2834,267,1,50000000,84.98846445
0.59,146.9397057,2834,95,0.8,1000000,86.40733226
0.59,146.9397057,2834,95,0.8,17333333,209.2155611
0.59,146.9397057,2834,95,0.8,33666666,249.3932481
0.59,146.9397057,2834,95,0.8,50000000,276.3458202
0.59,146.9397057,2834,95,0.87,1000000,79.45501817
0.59,146.9397057,2834,95,0.87,17333333,192.3821251
0.59,146.9397057,2834,95,0.87,33666666,229.3271247
0.59,146.9397057,2834,95,0.87,50000000,254.1110991
0.59,146.9397057,2834,95,0.93,1000000,74.32888797
0.59,146.9397057,2834,95,0.93,17333333,179.9703751
0.59,146.9397057,2834,95,0.93,33666666,214.5318263
0.59,146.9397057,2834,95,0.93,50000000,237.7168346
0.59,146.9397057,2834,95,1,1000000,69.12586581
0.59,146.9397057,2834,95,1,17333333,167.3724489
0.59,146.9397057,2834,95,1,33666666,199.5145985
0.59,146.9397057,2834,95,1,50000000,221.0766562
0.59,146.9397057,3500,23,0.8,1000000,259.8998166
0.59,146.9397057,3500,23,0.8,17333333,525.2854268
0.59,146.9397057,3500,23,0.8,33666666,618.0295345
0.59,146.9397057,3500,23,0.8,50000000,680.8230903
0.59,146.9397057,3500,23,0.87,1000000,238.9883371
0.59,146.9397057,3500,23,0.87,17333333,483.0210821
0.59,146.9397057,3500,23,0.87,33666666,568.3030202
0.59,146.9397057,3500,23,0.87,50000000,626.0442209
0.59,146.9397057,3500,23,0.93,1000000,223.5697347
0.59,146.9397057,3500,23,0.93,17333333,451.8584317
0.59,146.9397057,3500,23,0.93,33666666,531.6383093
0.59,146.9397057,3500,23,0.93,50000000,585.6542712
0.59,146.9397057,3500,23,1,1000000,207.9198533
0.59,146.9397057,3500,23,1,17333333,420.2283415
0.59,146.9397057,3500,23,1,33666666,494.4236276
0.59,146.9397057,3500,23,1,50000000,544.6584722
0.59,146.9397057,3500,87,0.8,1000000,89.6077036
0.59,146.9397057,3500,145,0.8,17333333,136.704052
0.59,146.9397057,3500,145,0.8,33666666,166.7868473
0.59,146.9397057,3500,145,0.8,50000000,186.6327022
0.59,146.9397057,3500,78,0.87,1000000,92.61222795
0.59,146.9397057,3500,145,0.87,17333333,125.7048754
0.59,146.9397057,3500,145,0.87,33666666,153.367216
0.59,146.9397057,3500,145,0.87,50000000,171.6162779
0.59,146.9397057,3500,56,0.93,1000000,116.5968459
0.59,146.9397057,3500,145,0.93,17333333,117.5948834
0.59,146.9397057,3500,145,0.93,33666666,143.4725569
0.59,146.9397057,3500,145,0.93,50000000,160.5442599
0.59,146.9397057,3500,58,1,1000000,105.353782
0.59,146.9397057,3500,145,1,17333333,109.3632416
0.59,146.9397057,3500,145,1,33666666,133.4294779
0.59,146.9397057,3500,145,1,50000000,149.3061617
0.59,146.9397057,3500,123,0.8,1000000,50.35950862
0.59,146.9397057,3500,267,0.8,17333333,46.94583646
0.59,146.9397057,3500,267,0.8,33666666,81.2373935
0.59,146.9397057,3500,267,0.8,50000000,99.0179497
0.59,146.9397057,3500,98,0.87,1000000,71.0494632
0.59,146.9397057,3500,267,0.87,17333333,43.16858525
0.59,146.9397057,3500,267,0.87,33666666,74.7010515
0.59,146.9397057,3500,267,0.87,50000000,91.05098823
0.59,146.9397057,3500,68,0.93,1000000,98.74506136
0.59,146.9397057,3500,267,0.93,17333333,40.38351524
