d,z,a,poisson,sigma,E
2.0000,985.9900,133.0145,0.4000,0.7200,9.8630
2.0000,985.9900,126.1886,0.4000,0.8000,9.8715
2.0000,985.9900,150.8242,0.4500,0.5600,9.7248
2.0000,985.9900,141.0832,0.4500,0.6400,9.7384
2.0000,985.9900,133.0145,0.4500,0.7200,9.7490
2.0000,985.9900,126.1886,0.4500,0.8000,9.7576
2.0000,985.9900,150.8242,0.5000,0.5600,9.5785
2.0000,985.9900,141.0832,0.5000,0.6400,9.5922
2.0000,985.9900,133.0145,0.5000,0.7200,9.6029
2.0000,985.9900,126.1886,0.5000,0.8000,9.6115
2.0000,985.9900,150.8242,0.3500,0.5600,9.9212
2.0000,985.9900,141.0832,0.3500,0.6400,9.9345
2.0000,985.9900,133.0145,0.3500,0.7200,9.9449
2.0000,985.9900,126.1886,0.3500,0.8000,9.9532
2.0000,985.9900,150.8242,0.4000,0.5600,9.8391
2.0000,985.9900,141.0832,0.4000,0.6400,9.8525
2.0000,985.9900,133.0145,0.4000,0.7200,9.8630
2.0000,985.9900,126.1886,0.4000,0.8000,9.8715
2.0000,985.9900,150.8242,0.4500,0.5600,9.7248
2.0000,985.9900,141.0832,0.4500,0.6400,9.7384
2.0000,985.9900,133.0145,0.4500,0.7200,9.7490
2.0000,985.9900,126.1886,0.4500,0.8000,9.7576
2.0000,985.9900,150.8242,0.5000,0.5600,9.5785
2.0000,985.9900,141.0832,0.5000,0.6400,9.5922
2.0000,985.9900,133.0145,0.5000,0.7200,9.6029
2.0000,985.9900,126.1886,0.5000,0.8000,9.6115
2.0000,985.9900,150.8242,0.3500,0.5600,9.9212
2.0000,985.9900,141.0832,0.3500,0.6400,9.9345
2.0000,985.9900,133.0145,0.3500,0.7200,9.9449
2.0000,985.9900,126.1886,0.3500,0.8000,9.9532
2.0000,985.9900,150.8242,0.4000,0.5600,9.8391
2.0000,985.9900,141.0832,0.4000,0.6400,9.8525
2.0000,985.9900,133.0145,0.4000,0.7200,9.8630
2.0000,985.9900,126.1886,0.4000,0.8000,9.8715
2.0000,985.9900,150.8242,0.4500,0.5600,9.7248
2.0000,985.9900,141.0832,0.4500,0.6400,9.7384
2.0000,985.9900,133.0145,0.4500,0.7200,9.7490
2.0000,985.9900,126.1886,0.4500,0.8000,9.7576
2.0000,985.9900,150.8242,0.5000,0.5600,9.5785
2.0000,985.9900,141.0832,0.5000,0.6400,9.5922
2.0000,985.9900,133.0145,0.5000,0.7200,9.6029
2.0000,985.9900,126.1886,0.5000,0.8000,9.6115
3.5000,850.0000,150.8242,0.3500,0.5600,6.5521
3.5000,850.0000,141.0832,0.3500,0.6400,6.5638
3.5000,850.0000,133.0145,0.3500,0.7200,6.5730
3.5000,850.0000,126.1886,0.3500,0.8000,6.5804
3.5000,850.0000,150.8242,0.4000,0.5600,6.4974
3.5000,850.0000,141.0832,0.4000,0.6400,6.5092
3.5000,850.0000,133.0145,0.4000,0.7200,6.5185
3.5000,850.0000,126.1886,0.4000,0.8000,6.5260
3.5000,850.0000,150.8242,0.4500,0.5600,6.4214
3.5000,850.0000,141.0832,0.4500,0.6400,6.4334
3.5000,850.0000,133.0145,0.4500,0.7200,6.4428
3.5000,850.0000,126.1886,0.4500,0.8000,6.4503
3.5000,850.0000,150.8242,0.5000,0.5600,6.3242
3.5000,850.0000,141.0832,0.5000,0.6400,6.3363
3.5000,850.0000,133.0145,0.5000,0.7200,6.3457
3.5000,850.0000,126.1886,0.5000,0.8000,6.3533
3.5000,850.0000,150.8242,0.3500,0.5600,6.5521
3.5000,850.0000,141.0832,0.3500,0.6400,6.5638
3.5000,850.0000,133.0145,0.3500,0.7200,6.5730
3.5000,850.0000,126.1886,0.3500,0.8000,6.5804
3.5000,850.0000,150.8242,0.4000,0.5600,6.4974
3.5000,850.0000,141.0832,0.4000,0.6400,6.5092
3.5000,850.0000,133.0145,0.4000,0.7200,6.5185
3.5000,850.0000,126.1886,0.4000,0.8000,6.5260
3.5000,850.0000,150.8242,0.4500,0.5600,6.4214
3.5000,850.0000,141.0832,0.4500,0.6400,6.4334
3.5000,850.0000,133.0145,0.4500,0.7200,6.4428
3.5000,850.0000,126.1886,0.4500,0.8000,6.4503
3.5000,850.0000,150.8242,0.5000,0.5600,6.3242
3.5000,850.0000,141.0832,0.5000,0.6400,6.3363
3.5000,850.0000,133.0145,0.5000,0.7200,6.3457
3.5000,850.0000,126.1886,0.5000,0.8000,6.3533
3.5000,850.0000,150.8242,0.3500,0.5600,6.5521
3.5000,850.0000,141.0832,0.3500,0.6400,6.5638
3.5000,850.0000,133.0145,0.3500,0.7200,6.5730
3.5000,850.0000,126.1886,0.3500,0.8000,6.5804
3.5000,850.0000,150.8242,0.4000,0.5600,6.4974
3.5000,850.0000,141.0832,0.4000,0.6400,6.5092
3.5000,850.0000,133.0145,0.4000,0.7200,6.5185
3.5000,850.0000,126.1886,0.4000,0.8000,6.5260
3.5000,850.0000,150.8242,0.4500,0.5600,6.4214
3.5000,850.0000,141.0832,0.4500,0.6400,6.4334
3.5000,850.0000,133.0145,0.4500,0.7200,6.4428
3.5000,850.0000,126.1886,0.4500,0.8000,6.4503
3.5000,850.0000,150.8242,0.5000,0.5600,6.3242
3.5000,850.0000,141.0832,0.5000,0.6400,6.3363
3.5000,850.0000,133.0145,0.5000,0.7200,6.3457
3.5000,850.0000,126.1886,0.5000,0.8000,6.3533
3.5000,850.0000,150.8242,0.3500,0.5600,6.5521
3.5000,850.0000,141.0832,0.3500,0.6400,6.5638
3.5000,850.0000,133.0145,0.3500,0.7200,6.5730
3.5000,850.0000,126.1886,0.3500,0.8000,6.5804
3.5000,850.0000,150.8242,0.4000,0.5600,6.4974
3.5000,850.0000,141.0832,0.4000,0.6400,6.5092
3.5000,850.0000,133.0145,0.4000,0.7200,6.5185
3.5000,850.0000,126.1886,0.4000,0.8000,6.5260
3.5000,850.0000,150.8242,0.4500,0.5600,6.4214
3.5000,850.0000,141.0832,0.4500,0.6400,6.4334
3.5000,850.0000,133.0145,0.4500,0.7200,6.4428
3.5000,850.0000,126.1886,0.4500,0.8000,6.4503
3.5000,850.0000,150.8242,0.5000,0.5600,6.3242
3.5000,850.0000,141.0832,0.5000,0.6400,6.3363
3.5000,850.0000,133.0145,0.5000,0.7200,6.3457
3.5000,850.0000,126.1886,0.5000,0.8000,6.3533
3.5000,895.3300,150.8242,0.3500,0.5600,6.2292
3.5000,895.3300,141.0832,0.3500,0.6400,6.2392
3.5000,895.3300,133.0145,0.3500,0.7200,6.2471
3.5000,895.3300,126.1886,0.3500,0.8000,6.2534
3.5000,895.3300,150.8242,0.4000,0.5600,6.1773
3.5000,895.3300,141.0832,0.4000,0.6400,6.1875
3.5000,895.3300,133.0145,0.4000,0.7200,6.1955
3.5000,895.3300,126.1886,0.4000,0.8000,6.2019
3.5000,895.3300,150.8242,0.4500,0.5600,6.1053
3.5000,895.3300,141.0832,0.4500,0.6400,6.1156
3.5000,895.3300,133.0145,0.4500,0.7200,6.1236
3.5000,895.3300,126.1886,0.4500,0.8000,6.1301
3.5000,895.3300,150.8242,0.5000,0.5600,6.0130
3.5000,895.3300,141.0832,0.5000,0.6400,6.0234
3.5000,895.3300,133.0145,0.5000,0.7200,6.0316
3.5000,895.3300,126.1886,0.5000,0.8000,6.0381
3.5000,895.3300,150.8242,0.3500,0.5600,6.2292
3.5000,895.3300,141.0832,0.3500,0.6400,6.2392
3.5000,895.3300,133.0145,0.3500,0.7200,6.2471
3.5000,895.3300,126.1886,0.3500,0.8000,6.2534
3.5000,895.3300,150.8242,0.4000,0.5600,6.1773
3.5000,895.3300,141.0832,0.4000,0.6400,6.1875
3.5000,895.3300,133.0145,0.4000,0.7200,6.1955
3.5000,895.3300,126.1886,0.4000,0.8000,6.2019
3.5000,895.3300,150.8242,0.4500,0.5600,6.1053
3.5000,895.3300,141.0832,0.4500,0.6400,6.1156
3.5000,895.3300,133.0145,0.4500,0.7200,6.1236
3.5000,895.3300,126.1886,0.4500,0.8000,6.1301
3.5000,895.3300,150.8242,0.5000,0.5600,6.0130
3.5000,895.3300,141.0832,0.5000,0.6400,6.0234
3.5000,895.3300,133.0145,0.5000,0.7200,6.0316
3.5000,895.3300,126.1886,0.5000,0.8000,6.0381
3.5000,895.3300,150.8242,0.3500,0.5600,6.2292
3.5000,895.3300,141.0832,0.3500,0.6400,6.2392
3.5000,895.3300,133.0145,0.3500,0.7200,6.2471
3.5000,895.3300,126.1886,0.3500,0.8000,6.2534
3.5000,895.3300,150.8242,0.4000,0.5600,6.1773
3.5000,895.3300,141.0832,0.4000,0.6400,6.1875
3.5000,895.3300,133.0145,0.4000,0.7200,6.1955
3.5000,895.3300,126.1886,0.4000,0.8000,6.2019
3.5000,895.3300,150.8242,0.4500,0.5600,6.1053
3.5000,895.3300,141.0832,0.4500,0.6400,6.1156
3.5000,895.3300,133.0145,0.4500,0.7200,6.1236
3.5000,895.3300,126.1886,0.4500,0.8000,6.1301
3.5000,895.3300,150.8242,0.5000,0.5600,6.0130
3.5000,895.3300,141.0832,0.5000,0.6400,6.0234
3.5000,895.3300,133.0145,0.5000,0.7200,6.0316
3.5000,895.3300,126.1886,0.5000,0.8000,6.0381
3.5000,895.3300,150.8242,0.3500,0.5600,6.2292
3.5000,895.3300,141.0832,0.3500,0.6400,6.2392
3.5000,895.3300,133.0145,0.3500,0.7200,6.2471
3.5000,895.3300,126.1886,0.3500,0.8000,6.2534
3.5000,895.3300,150.8242,0.4000,0.5600,6.1773
3.5000,895.3300,141.0832,0.4000,0.6400,6.1875
3.5000,895.3300,133.0145,0.4000,0.7200,6.1955
3.5000,895.3300,126.1886,0.4000,0.8000,6.2019
3.5000,895.3300,150.8242,0.4500,0.5600,6.1053
3.5000,895.3300,141.0832,0.4500,0.6400,6.1156
3.5000,895.3300,133.0145,0.4500,0.7200,6.1236
3.5000,895.3300,126.1886,0.4500,0.8000,6.1301
3.5000,895.3300,150.8242,0.5000,0.5600,6.0130
3.5000,895.3300,141.0832,0.5000,0.6400,6.0234
3.5000,895.3300,133.0145,0.5000,0.7200,6.0316
3.5000,895.3300,126.1886,0.5000,0.8000,6.0381
3.5000,940.6600,150.8242,0.3500,0.5600,5.9362
3.5000,940.6600,141.0832,0.3500,0.6400,5.9449
3.5000,940.6600,133.0145,0.3500,0.7200,5.9517
3.5000,940.6600,126.1886,0.3500,0.8000,5.9572
3.5000,940.6600,150.8242,0.4000,0.5600,5.8869
3.5000,940.6600,141.0832,0.4000,0.6400,5.8958
3.5000,940.6600,133.0145,0.4000,0.7200,5.9026
3.5000,940.6600,126.1886,0.4000,0.8000,5.9082
3.5000,940.6600,150.8242,0.4500,0.5600,5.8184
3.5000,940.6600,141.0832,0.4500,0.6400,5.8274
3.5000,940.6600,133.0145,0.4500,0.7200,5.8343
3.5000,940.6600,126.1886,0.4500,0.8000,5.8399
3.5000,940.6600,150.8242,0.5000,0.5600,5.7307
3.5000,940.6600,141.0832,0.5000,0.6400,5.7397
3.5000,940.6600,133.0145,0.5000,0.7200,5.7467
3.5000,940.6600,126.1886,0.5000,0.8000,5.7524
3.5000,940.6600,150.8242,0.3500,0.5600,5.9362
3.5000,940.6600,141.0832,0.3500,0.6400,5.9449
3.5000,940.6600,133.0145,0.3500,0.7200,5.9517
3.5000,940.6600,126.1886,0.3500,0.8000,5.9572
3.5000,940.6600,150.8242,0.4000,0.5600,5.8869
3.5000,940.6600,141.0832,0.4000,0.6400,5.8958
3.5000,940.6600,133.0145,0.4000,0.7200,5.9026
3.5000,940.6600,126.1886,0.4000,0.8000,5.9082
3.5000,940.6600,150.8242,0.4500,0.5600,5.8184
3.5000,940.6600,141.0832,0.4500,0.6400,5.8274
3.5000,940.6600,133.0145,0.4500,0.7200,5.8343
3.5000,940.6600,126.1886,0.4500,0.8000,5.8399
3.5000,940.6600,150.8242,0.5000,0.5600,5.7307
3.5000,940.6600,141.0832,0.5000,0.6400,5.7397
3.5000,940.6600,133.0145,0.5000,0.7200,5.7467
3.5000,940.6600,126.1886,0.5000,0.8000,5.7524
3.5000,940.6600,150.8242,0.3500,0.5600,5.9362
3.5000,940.6600,141.0832,0.3500,0.6400,5.9449
3.5000,940.6600,133.0145,0.3500,0.7200,5.9517
3.5000,940.6600,126.1886,0.3500,0.8000,5.9572
3.5000,940.6600,150.8242,0.4000,0.5600,5.8869
3.5000,940.6600,141.0832,0.4000,0.6400,5.8958
3.5000,940.6600,133.0145,0.4000,0.7200,5.9026
3.5000,940.6600,126.1886,0.4000,0.8000,5.9082
3.5000,940.6600,150.8242,0.4500,0.5600,5.8184
3.5000,940.6600,141.0832,0.4500,0.6400,5.8274
3.5000,940.6600,133.0145,0.4500,0.7200,5.8343
3.5000,940.6600,126.1886,0.4500,0.8000,5.8399
3.5000,940.6600,150.8242,0.5000,0.5600,5.7307
3.5000,940.6600,141.0832,0.5000,0.6400,5.7397
3.5000,940.6600,133.0145,0.5000,0.7200,5.7467
3.5000,940.6600,126.1886,0.5000,0.8000,5.7524
3.5000,940.6600,150.8242,0.3500,0.5600,5.9362
3.5000,940.6600,141.0832,0.3500,0.6400,5.9449
3.5000,940.6600,133.0145,0.3500,0.7200,5.9517
3.5000,940.6600,126.1886,0.3500,0.8000,5.9572
3.5000,940.6600,150.8242,0.4000,0.5600,5.8869
3.5000,940.6600,141.0832,0.4000,0.6400,5.8958
3.5000,940.6600,133.0145,0.4000,0.7200,5.9026
3.5000,940.6600,126.1886,0.4000,0.8000,5.9082
3.5000,940.6600,150.8242,0.4500,0.5600,5.8184
3.5000,940.6600,141.0832,0.4500,0.6400,5.8274
3.5000,940.6600,133.0145,0.4500,0.7200,5.8343
3.5000,940.6600,126.1886,0.4500,0.8000,5.8399
3.5000,940.6600,150.8242,0.5000,0.5600,5.7307
3.5000,940.6600,141.0832,0.5000,0.6400,5.7397
3.5000,940.6600,133.0145,0.5000,0.7200,5.7467
3.5000,940.6600,126.1886,0.5000,0.8000,5.7524
3.5000,985.9900,150.8242,0.3500,0.5600,5.6693
3.5000,985.9900,141.0832,0.3500,0.6400,5.6768
3.5000,985.9900,133.0145,0.3500,0.7200,5.6828
3.5000,985.9900,126.1886,0.3500,0.8000,5.6875
3.5000,985.9900,150.8242,0.4000,0.5600,5.6223
3.5000,985.9900,141.0832,0.4000,0.6400,5.6300
3.5000,985.9900,133.0145,0.4000,0.7200,5.6360
3.5000,985.9900,126.1886,0.4000,0.8000,5.6408
3.5000,985.9900,150.8242,0.4500,0.5600,5.5570
3.5000,985.9900,141.0832,0.4500,0.6400,5.5648
3.5000,985.9900,133.0145,0.4500,0.7200,5.5709
3.5000,985.9900,126.1886,0.4500,0.8000,5.5757
3.5000,985.9900,150.8242,0.5000,0.5600,5.4734
3.5000,985.9900,141.0832,0.5000,0.6400,5.4813
3.5000,985.9900,133.0145,0.5000,0.7200,5.4874
3.5000,985.9900,126.1886,0.5000,0.8000,5.4923
3.5000,985.9900,150.8242,0.3500,0.5600,5.6693
3.5000,985.9900,141.0832,0.3500,0.6400,5.6768
3.5000,985.9900,133.0145,0.3500,0.7200,5.6828
3.5000,985.9900,126.1886,0.3500,0.8000,5.6875
3.5000,985.9900,150.8242,0.4000,0.5600,5.6223
3.5000,985.9900,141.0832,0.4000,0.6400,5.6300
3.5000,985.9900,133.0145,0.4000,0.7200,5.6360
3.5000,985.9900,126.1886,0.4000,0.8000,5.6408
3.5000,985.9900,150.8242,0.4500,0.5600,5.5570
3.5000,985.9900,141.0832,0.4500,0.6400,5.5648
3.5000,985.9900,133.0145,0.4500,0.7200,5.5709
3.5000,985.9900,126.1886,0.4500,0.8000,5.5757
3.5000,985.9900,150.8242,0.5000,0.5600,5.4734
3.5000,985.9900,141.0832,0.5000,0.6400,5.4813
3.5000,985.9900,133.0145,0.5000,0.7200,5.4874
3.5000,985.9900,126.1886,0.5000,0.8000,5.4923
3.5000,985.9900,150.8242,0.3500,0.5600,5.6693
3.5000,985.9900,141.0832,0.3500,0.6400,5.6768
3.5000,985.9900,133.0145,0.3500,0.7200,5.6828
3.5000,985.9900,126.1886,0.3500,0.8000,5.6875
3.5000,985.9900,150.8242,0.4000,0.5600,5.6223
3.5000,985.9900,141.0832,0.4000,0.6400,5.6300
3.5000,985.9900,133.0145,0.4000,0.7200,5.6360
3.5000,985.9900,126.1886,0.4000,0.8000,5.6408
3.5000,985.9900,150.8242,0.4500,0.5600,5.5570
3.5000,985.9900,141.0832,0.4500,0.6400,5.5648
3.5000,985.9900,133.0145,0.4500,0.7200,5.5709
3.5000,985.9900,126.1886,0.4500,0.8000,5.5757
3.5000,985.9900,150.8242,0.5000,0.5600,5.4734
3.5000,985.9900,141.0832,0.5000,0.6400,5.4813
3.5000,985.9900,133.0145,0.5000,0.7200,5.4874
3.5000,985.9900,126.1886,0.5000,0.8000,5.4923
3.5000,985.9900,150.8242,0.3500,0.5600,5.6693
3.5000,985.9900,141.0832,0.3500,0.6400,5.6768
3.5000,985.9900,133.0145,0.3500,0.7200,5.6828
3.5000,985.9900,126.1886,0.3500,0.8000,5.6875
3.5000,985.9900,150.8242,0.4000,0.5600,5.6223
3.5000,985.9900,141.0832,0.4000,0.6400,5.6300
3.5000,985.9900,133.0145,0.4000,0.7200,5.6360
3.5000,985.9900,126.1886,0.4000,0.8000,5.6408
3.5000,985.9900,150.8242,0.4500,0.5600,5.5570
3.5000,985.9900,141.0832,0.4500,0.6400,5.5648
3.5000,985.9900,133.0145,0.4500,0.7200,5.5709
3.5000,985.9900,126.1886,0.4500,0.8000,5.5757
3.5000,985.9900,150.8242,0.5000,0.5600,5.4734
3.5000,985.9900,141.0832,0.5000,0.6400,5.4813
3.5000,985.9900,133.0145,0.5000,0.7200,5.4874
3.5000,985.9900,126.1886,0.5000,0.8000,5.4923
5.0000,850.0000,150.8242,0.3500,0.5600,4.5865
5.0000,850.0000,141.0832,0.3500,0.6400,4.5947
5.0000,850.0000,133.0145,0.3500,0.7200,4.6011
5.0000,850.0000,126.1886,0.3500,0.8000,4.6063
5.0000,850.0000,150.8242,0.4000,0.5600,4.5482
5.0000,850.0000,141.0832,0.4000,0.6400,4.5565
5.0000,850.0000,133.0145,0.4000,0.7200,4.5630
5.0000,850.0000,126.1886,0.4000,0.8000,4.5682
5.0000,850.0000,150.8242,0.4500,0.5600,4.4950
5.0000,850.0000,141.0832,0.4500,0.6400,4.5034
5.0000,850.0000,133.0145,0.4500,0.7200,4.5099
5.0000,850.0000,126.1886,0.4500,0.8000,4.5152
5.0000,850.0000,150.8242,0.5000,0.5600,4.4269
5.0000,850.0000,141.0832,0.5000,0.6400,4.4354
5.0000,850.0000,133.0145,0.5000,0.7200,4.4420
5.0000,850.0000,126.1886,0.5000,0.8000,4.4473
5.0000,850.0000,150.8242,0.3500,0.5600,4.5865
5.0000,850.0000,141.0832,0.3500,0.6400,4.5947
5.0000,850.0000,133.0145,0.3500,0.7200,4.6011
5.0000,850.0000,126.1886,0.3500,0.8000,4.6063
5.0000,850.0000,150.8242,0.4000,0.5600,4.5482
5.0000,850.0000,141.0832,0.4000,0.6400,4.5565
5.0000,850.0000,133.0145,0.4000,0.7200,4.5630
5.0000,850.0000,126.1886,0.4000,0.8000,4.5682
5.0000,850.0000,150.8242,0.4500,0.5600,4.4950
5.0000,850.0000,141.0832,0.4500,0.6400,4.5034
5.0000,850.0000,133.0145,0.4500,0.7200,4.5099
5.0000,850.0000,126.1886,0.4500,0.8000,4.5152
5.0000,850.0000,150.8242,0.5000,0.5600,4.4269
5.0000,850.0000,141.0832,0.5000,0.6400,4.4354
5.0000,850.0000,133.0145,0.5000,0.7200,4.4420
5.0000,850.0000,126.1886,0.5000,0.8000,4.4473
5.0000,850.0000,150.8242,0.3500,0.5600,4.5865
5.0000,850.0000,141.0832,0.3500,0.6400,4.5947
5.0000,850.0000,133.0145,0.3500,0.7200,4.6011
5.0000,850.0000,126.1886,0.3500,0.8000,4.6063
5.0000,850.0000,150.8242,0.4000,0.5600,4.5482
5.0000,850.0000,141.0832,0.4000,0.6400,4.5565
5.0000,850.0000,133.0145,0.4000,0.7200,4.5630
5.0000,850.0000,126.1886,0.4000,0.8000,4.5682
5.0000,850.0000,150.8242,0.4500,0.5600,4.4950
5.0000,850.0000,141.0832,0.4500,0.6400,4.5034
5.0000,850.0000,133.0145,0.4500,0.7200,4.5099
5.0000,850.0000,126.1886,0.4500,0.8000,4.5152
5.0000,850.0000,150.8242,0.5000,0.5600,4.4269
5.0000,850.0000,141.0832,0.5000,0.6400,4.4354
5.0000,850.0000,133.0145,0.5000,0.7200,4.4420
5.0000,850.0000,126.1886,0.5000,0.8000,4.4473
5.0000,850.0000,150.8242,0.3500,0.5600,4.5865
5.0000,850.0000,141.0832,0.3500,0.6400,4.5947
5.0000,850.0000,133.0145,0.3500,0.7200,4.6011
5.0000,850.0000,126.1886,0.3500,0.8000,4.6063
5.0000,850.0000,150.8242,0.4000,0.5600,4.5482
5.0000,850.0000,141.0832,0.4000,0.6400,4.5565
5.0000,850.0000,133.0145,0.4000,0.7200,4.5630
5.0000,850.0000,126.1886,0.4000,0.8000,4.5682
5.0000,850.0000,150.8242,0.4500,0.5600,4.4950
5.0000,850.0000,141.0832,0.4500,0.6400,4.5034
5.0000,850.0000,133.0145,0.4500,0.7200,4.5099
5.0000,850.0000,126.1886,0.4500,0.8000,4.5152
5.0000,850.0000,150.8242,0.5000,0.5600,4.4269
5.0000,850.0000,141.0832,0.5000,0.6400,4.4354
5.0000,850.0000,133.0145,0.5000,0.7200,4.4420
5.0000,850.0000,126.1886,0.5000,0.8000,4.4473
5.0000,895.3300,150.8242,0.3500,0.5600,4.3604
5.0000,895.3300,141.0832,0.3500,0.6400,4.3675
5.0000,895.3300,133.0145,0.3500,0.7200,4.3730
5.0000,895.3300,126.1886,0.3500,0.8000,4.3774
5.0000,895.3300,150.8242,0.4000,0.5600,4.3241
5.0000,895.3300,141.0832,0.4000,0.6400,4.3313
5.0000,895.3300,133.0145,0.4000,0.7200,4.3368
5.0000,895.3300,126.1886,0.4000,0.8000,4.3413
5.0000,895.3300,150.8242,0.4500,0.5600,4.2737
5.0000,895.3300,141.0832,0.4500,0.6400,4.2809
5.0000,895.3300,133.0145,0.4500,0.7200,4.2865
5.0000,895.3300,126.1886,0.4500,0.8000,4.2911
5.0000,895.3300,150.8242,0.5000,0.5600,4.2091
5.0000,895.3300,141.0832,0.5000,0.6400,4.2164
5.0000,895.3300,133.0145,0.5000,0.7200,4.2221
5.0000,895.3300,126.1886,0.5000,0.8000,4.2267
5.0000,895.3300,150.8242,0.3500,0.5600,4.3604
5.0000,895.3300,141.0832,0.3500,0.6400,4.3675
5.0000,895.3300,133.0145,0.3500,0.7200,4.3730
5.0000,895.3300,126.1886,0.3500,0.8000,4.3774
5.0000,895.3300,150.8242,0.4000,0.5600,4.3241
5.0000,895.3300,141.0832,0.4000,0.6400,4.3313
5.0000,895.3300,133.0145,0.4000,0.7200,4.3368
5.0000,895.3300,126.1886,0.4000,0.8000,4.3413
5.0000,895.3300,150.8242,0.4500,0.5600,4.2737
5.0000,895.3300,141.0832,0.4500,0.6400,4.2809
5.0000,895.3300,133.0145,0.4500,0.7200,4.2865
5.0000,895.3300,126.1886,0.4500,0.8000,4.2911
5.0000,895.3300,150.8242,0.5000,0.5600,4.2091
5.0000,895.3300,141.0832,0.5000,0.6400,4.2164
5.0000,895.3300,133.0145,0.5000,0.7200,4.2221
5.0000,895.3300,126.1886,0.5000,0.8000,4.2267
5.0000,895.3300,150.8242,0.3500,0.5600,4.3604
5.0000,895.3300,141.0832,0.3500,0.6400,4.3675
5.0000,895.3300,133.0145,0.3500,0.7200,4.3730
5.0000,895.3300,126.1886,0.3500,0.8000,4.3774
5.0000,895.3300,150.8242,0.4000,0.5600,4.3241
5.0000,895.3300,141.0832,0.4000,0.6400,4.3313
5.0000,895.3300,133.0145,0.4000,0.7200,4.3368
5.0000,895.3300,126.1886,0.4000,0.8000,4.3413
5.0000,895.3300,150.8242,0.4500,0.5600,4.2737
5.0000,895.3300,141.0832,0.4500,0.6400,4.2809
5.0000,895.3300,133.0145,0.4500,0.7200,4.2865
5.0000,895.3300,126.1886,0.4500,0.8000,4.2911
5.0000,895.3300,150.8242,0.5000,0.5600,4.2091
5.0000,895.3300,141.0832,0.5000,0.6400,4.2164
5.0000,895.3300,133.0145,0.5000,0.7200,4.2221
5.0000,895.3300,126.1886,0.5000,0.8000,4.2267
5.0000,895.3300,150.8242,0.3500,0.5600,4.3604
5.0000,895.3300,141.0832,0.3500,0.6400,4.3675
5.0000,895.3300,133.0145,0.3500,0.7200,4.3730
5.0000,895.3300,126.1886,0.3500,0.8000,4.3774
5.0000,895.3300,150.8242,0.4000,0.5600,4.3241
5.0000,895.3300,141.0832,0.4000,0.6400,4.3313
5.0000,895.3300,133.0145,0.4000,0.7200,4.3368
5.0000,895.3300,126.1886,0.4000,0.8000,4.3413
5.0000,895.3300,150.8242,0.4500,0.5600,4.2737
5.0000,895.3300,141.0832,0.4500,0.6400,4.2809
5.0000,895.3300,133.0145,0.4500,0.7200,4.2865
5.0000,895.3300,126.1886,0.4500,0.8000,4.2911
5.0000,895.3300,150.8242,0.5000,0.5600,4.2091
5.0000,895.3300,141.0832,0.5000,0.6400,4.2164
5.0000,895.3300,133.0145,0.5000,0.7200,4.2221
5.0000,895.3300,126.1886,0.5000,0.8000,4.2267
5.0000,940.6600,150.8242,0.3500,0.5600,4.1553
5.0000,940.6600,141.0832,0.3500,0.6400,4.1614
5.0000,940.6600,133.0145,0.3500,0.7200,4.1662
5.0000,940.6600,126.1886,0.3500,0.8000,4.1700
5.0000,940.6600,150.8242,0.4000,0.5600,4.1209
5.0000,940.6600,141.0832,0.4000,0.6400,4.1270
5.0000,940.6600,133.0145,0.4000,0.7200,4.1319
5.0000,940.6600,126.1886,0.4000,0.8000,4.1357
5.0000,940.6600,150.8242,0.4500,0.5600,4.0729
5.0000,940.6600,141.0832,0.4500,0.6400,4.0791
5.0000,940.6600,133.0145,0.4500,0.7200,4.0840
5.0000,940.6600,126.1886,0.4500,0.8000,4.0879
5.0000,940.6600,150.8242,0.5000,0.5600,4.0115
5.0000,940.6600,141.0832,0.5000,0.6400,4.0178
5.0000,940.6600,133.0145,0.5000,0.7200,4.0227
5.0000,940.6600,126.1886,0.5000,0.8000,4.0267
5.0000,940.6600,150.8242,0.3500,0.5600,4.1553
5.0000,940.6600,141.0832,0.3500,0.6400,4.1614
5.0000,940.6600,133.0145,0.3500,0.7200,4.1662
5.0000,940.6600,126.1886,0.3500,0.8000,4.1700
5.0000,940.6600,150.8242,0.4000,0.5600,4.1209
5.0000,940.6600,141.0832,0.4000,0.6400,4.1270
5.0000,940.6600,133.0145,0.4000,0.7200,4.1319
5.0000,940.6600,126.1886,0.4000,0.8000,4.1357
5.0000,940.6600,150.8242,0.4500,0.5600,4.0729
5.0000,940.6600,141.0832,0.4500,0.6400,4.0791
5.0000,940.6600,133.0145,0.4500,0.7200,4.0840
5.0000,940.6600,126.1886,0.4500,0.8000,4.0879
5.0000,940.6600,150.8242,0.5000,0.5600,4.0115
5.0000,940.6600,141.0832,0.5000,0.6400,4.0178
5.0000,940.6600,133.0145,0.5000,0.7200,4.0227
5.0000,940.6600,126.1886,0.5000,0.8000,4.0267
5.0000,940.6600,150.8242,0.3500,0.5600,4.1553
5.0000,940.6600,141.0832,0.3500,0.6400,4.1614
5.0000,940.6600,133.0145,0.3500,0.7200,4.1662
5.0000,940.6600,126.1886,0.3500,0.8000,4.1700
5.0000,940.6600,150.8242,0.4000,0.5600,4.1209
5.0000,940.6600,141.0832,0.4000,0.6400,4.1270
5.0000,940.6600,133.0145,0.4000,0.7200,4.1319
5.0000,940.6600,126.1886,0.4000,0.8000,4.1357
